id_oglasa,naslov,tip_nepremicnine,stevilo_sob_opis,stevilo_sob,cena,valuta,m2,leto_gradnje,nadstropje,opis_kratek,opis_poln,regija,upravna_enota,obcina,naselje,url_oglasa
7111539,"BRDO, LUKSUZ NA GRBINI",Stanovanje,3-sobno,3.0,3100.0,EUR,286.6,2009,P,"286,6 m2, 3-sobno, zgrajeno l. 2009, adaptirano l. 2025, pritličje, oddamo. Cena: 3.100,00 EUR/mes","Na Viču – GRBINA S5 je v stilskem objektu, kjer je na voljo za najem luksuzno POPOLNOMA NOVO - NIKOLI VSELJENO 3-sobno stanovanje z atrijem, ki se nahaja v pritličju stavbe z dvigalom. Stanovanje je bilo popolnoma prenovljeno leta 2025, zgrajeno pa je bilo leta 2009.
Skupaj površin 286,6 m2.  Neto tlorisna površina stanovanja znaša 114,50 m2, od tega je bivalni prostor 107,30 m2, loža meri 7,20 m2, atrij pa kar 150,00 m2. Vključeno je tudi 2 parkirni mesti v podzemni garaži.
Mesečna najemnina znaša 3.304,23 EUR za fizične osebe ali  3100,00 EUR +DDV za pravne osebe.
Stanovanje je zelo funkcionalno razporejeno in vključuje predprostor, sanitarije, moderno opremljeno kuhinjo z jedilnico, prostorno dnevno sobo, otroško sobo, kopalnico s prho in kadjo ter glavno spalnico. Posebnost stanovanja je prefinjen dizajn in neposreden dostop do atrija iz dnevnega prostora in spalnic, kar omogoča povezanost z zunanjostjo.
Oprema stanovanja je visoke kakovosti in izdelana po meri. Kuhinja je opremljena s sodobnimi aparati, kopalnica vključuje pralno-sušilni stroj. Stanovanje ima tudi pametne inštalacije za udobno upravljanje razsvetljave, temperature in drugih funkcij preko telefona.
Stanovanje je energetsko učinkovito (razred B2), ogrevanje je talno.
Stroški: po porabi (plin, elektrika, voda, snaga, internet - optika).
Stanovanje je klimatizirano.
PARKIRANJE: v kletni garaži sta na voljo dve parkirni mesti.
SHRAMBA: stanovanju pripada shramba v kleti.
Primerno je za posameznike, pare ali družine, ki cenijo visoko kakovost bivanja, sodobno opremo in pametne rešitve za udobje.
Hišni ljubljenčki so dovoljeni po dogovoru.
Zahtevana varščina je 2x najemnina.
Dolgoročni najem je zaželen.
TEHNIČNI PODATKI:
- Energetska izkaznica: B2
- Stavba: 2009, odlično vzdrževana.
- Stanovanje: Popolnoma opremljeno, takoj primerno za nastanitev.
VAŠA PRILOŽNOST ČAKA!
Če iščete izjemen dom, ki združuje umetniško arhitekturo, lokacijo in neprimerljiv razgled – to stanovanje je ustvarjeno za vas.
Kontaktirajte nas že danes za ogled in doživite luksuz, ki presega pričakovanja!  mail: jasmina.bratoz@abc.si ali na 051 690 000.
Pogoji najema:",LJ-mesto,Lj. Vič-Rudnik,Ljubljana,Brdo,https://www.nepremicnine.net/oglasi-oddaja/brdo-luksuz-na-grbini-stanovanje_7111539/
7408946,DRAVLJE,Stanovanje,4-sobno,4.0,2700.0,EUR,106.0,2019,4/4,"106 m2, 4-sobno, zgrajeno l. 2019, 4/4 nad., oddamo. Cena: 2.700,00 EUR/mes","Ljubljana- Dravlje, oddaja se prestižen 4-sobni penthouse v Ljubljani s prostorno teraso
V najem oddamo svetel in sodobno opremljen 4-sobni penthouse, ki nudi vrhunsko udobje bivanja.
Osnovni podatki:
Razporeditev:
Oprema:
Dodatno:
Obratovalni stroški: približno 300–500 € mesečno (odvisno od porabe).
Stanovanje odlikujejo prostorna terasa, kakovostna oprema priznanih blagovnih znamk ter premišljena razporeditev prostorov, ki zagotavlja udobno bivanje za družino ali posameznike z višjimi zahtevami.
Za več informacij ali dogovor za ogled me kontaktirajte na: Kristina Klobčar  031 684 330, mail: kristina@mreza.com",LJ-mesto,Lj. Šiška,Ljubljana,Dravlje,https://www.nepremicnine.net/oglasi-oddaja/dravlje-stanovanje_7408946/
7078051,"KAMNIK, MALOGRAJSKI DVOR",Stanovanje,Apartma,,3500.0,EUR,260.0,1800,3/3,"260 m2, apartma, ""penthouse"", zgrajen l. 1800, adaptiran l. 2010, 600 m2 zemljišča, 3/3 nad., oddamo. Cena: 3....",,LJ-okolica,Kamnik,Kamnik,Kamnik,https://www.nepremicnine.net/oglasi-oddaja/kamnik-malograjski-dvor-stanovanje_7078051/
6848932,"LJ. BEŽIGRAD, LJ",Stanovanje,Soba,,500.0,EUR,25.0,1980,,"25 m2, soba, zgrajena l. 1980, adaptirana l. 2019, nadstandardna enoposteljna soba s svojo kopalnico za bežigradom v lju...","Za Bežigradom v Ljubljani oddamo v najem popolnoma opremljeno nadstandardno enosposteljno sobo, ki vsebuje lastno kopalnico, klimatsko napravo, LCD zaslon, omare, nočne omarice, mini hladilnik in tri postelje z vzmetnico, rjuho, odejo ter vzglavnikom.
Najemnina enoposteljne sobe 500,00€ brez stroškov.
Najemnik bo posebej plačeval fiksne mesečne stroške v višini 140,00€, ki vsebujejo odvoz smeti, vodo, električno energijo, plin, internet in čiščenje skupnih prostorov.
V souporabi je čajna kuhinja z jedilnico s preostalimi stanujočimi. V bližini objekta se nahajata avtobusni postaji Podmilščakova (št. 14) in Samova (št. 22) ter železniško postajališče Ljubljana Brinje. Poleg tega so v neposredni bližini objekta številne restavracije, fitnes, park in športne površine.
Soba/postelja je rezervirana ob plačilu dvomesečne varščine (enomesečna varščina je enaka mesečni najemnini postelje ali po dogovoru cele sobe + DDV) na podlagi sklenjenega najemnega pogodbenega razmerja.
Prosim vas, da na spodnjo/i mobilno številko ali elektronski naslov pošljete informacijo, kdaj ste razpoložljivi za ogled, dodatno pa dopišite vaše podatke (ime in priimek).
SIVKA d.o.o.
Gospodinjska ulica 8
1000 Ljubljana
Kolarjeva.international.house@gmail.com",LJ-mesto,Lj. Bežigrad,Ljubljana,LJ-Bežigrad,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-lj-stanovanje_6848932/
7375310,"LJ. CENTER, RESLJEVA",Stanovanje,5 in večsobno,,5300.0,EUR,190.0,1920,2/7,"190 m2, 5 in večsobno, zgrajeno l. 1920, adaptirano l. 2024, 2/7 nad., oddamo. Cena: 5.300,00 EUR/mes","Petsobno meščansko stanovanje v prvem nadstropju
Oddamo eksluzivno stanovanje, ki se nahaja v 1. nadstropju staro meščanske stavbe, zgrajene leta 1920. To izjemno stanovanje je bilo leta 2025 kompletno prenovljeno in na novo opremljeno. (Dizajnersko pohištvo in pohištvo po meri)..Visoki stropi, elegantne štukature in dovršeni detajli. Klimatizacija, talno ogrevanje, plinski kamin (dnevna soba).Tla so obložena s paketom (ribja kost). Vse sobe so med seboj prehodne. Stropi so višine 3,5 m..
Razporeditev prostorov
Obsega: štiri spalnice (ali tri spalnice in delovna soba), dve kopalnici, garderobna soba..Balkon z dvojnim dostopom Dve rezervirani zunanji parkirni mesti za stavbo. Na voljo za dolgoročni najem.  Stanovanje v bruto izmeri 190 m2 sestavlja: 173 m2 bivalne površine, terasa v izmeri 6,2 m2 ter klet v izmeri 11,3 m2.
Parkiranje Parkiranje za stanovalce je na parkirišču za zapornico.
Priključki Internet Ogrevanje – centralno/ plinsko – mestni plin (nizki stroški)
Lokacija in infrastruktura Objekt se nahaja na odlični lokaciji z vso potrebno infrastrukturo. V neposredni bližini se nahajajo, šola, gimnazija, vrtec, tržnica, železniška postaja ter LPP.
Dodatno Vseljivo s 1. sept.
Pogoj najemodajalca za sklenitev posla:
Plačilo varščine v višini dveh mesečnih najemnin pred vselitvijo. Oddaja je možna za minimalno obdobje najema 12 mesecev.
Najemnik prevzame v plačilo del dodatnih storitev, tj. sestave najemne pogodbe, kar vključuje naslednja dejanja posrednika: primopredajo, sestavo primopredajnega zapisnika,  pripravo in hrambo slikovnega gradiva,  tako, da najemnik pri oglaševani najemnini in predvidenem trajanju najema za eno leto plača enkratni znesek za dodatne storitve  5300 EUR plus 22 % DDV.
Za informacije ali za termin za ogled pišite na: aline@ab-nepremicnine.si
Vabljeni na ogled",LJ-mesto,Lj. Center,Ljubljana,LJ-Center,https://www.nepremicnine.net/oglasi-oddaja/lj-center-resljeva-stanovanje_7375310/
7041648,"LJ. MOSTE, POKOPALIŠKA 49",Stanovanje,4-sobno,4.0,3500.0,EUR,238.0,2006,4/4,"238 m2, 4-sobno, ""penthouse"", zgrajeno l. 2006, 4/4 nad., od 1.6.2026 dalje, oddamo. Cena: 3.500,00 EUR/mes",Vseljivo od 1.6.2026 dalje,LJ-mesto,Lj. Moste-Polje,Ljubljana,LJ-Moste,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-pokopaliska-49-stanovanje_7041648/
7366136,LOGATEC,Stanovanje,"2,5-sobno",2.5,700.0,EUR,80.0,1957,1/1,"80 m2, 2,5-sobno, zgrajeno l. 1957, adaptirano l. 2026, 1/1 nad., oddamo. Cena: 700,00 EUR/mes","Posredujemo pri oddaji prijetnega stanovanja, ki se nahaja v naselju Laze v občini Logatec, v mirnem in urejenem okolju, ki nudi kakovostno bivanje v stiku z naravo, hkrati pa omogoča hiter dostop do Logatca in vse potrebne infrastrukture.
Stanovanje je svetlo, funkcionalno razporejeno in delno opremljeno, zato omogoča, da si ga novi najemnik uredi po lastnih željah in potrebah. Prostori so prijetni in nudijo udobno bivanje paru ali manjši družini. Bivalno okolje je mirno, z občutkom zasebnosti, stran od mestnega vrveža.
Ogrevanje je urejeno na več načinov, kar omogoča prilagodljivost in udobje skozi vse leto: na pelete, s klimatsko napravo ter z električnimi paneli na stropu.
Velika prednost stanovanja sta dva lastniška parkirna prostora pod nadstreškom, kar zagotavlja zaščito vozil v vseh letnih časih in predstavlja dodatno udobje za najemnika.
Lokacija je primerna za vse, ki si želijo bivanja v mirnejšem naselju, a še vedno z dobro prometno povezavo do Logatca ter naprej proti Ljubljani ali Primorski.
Stanovanje je nekadilsko, hišni ljubljenčki niso dovoljeni.
Pogoji najema: ob podpisu najemne pogodbe v notarskem zapisu, se plača ena najemnina vnaprej, najemnik pa poravna tudi varščino v višini dveh mesečnih najemnin. Stroški stanovanja niso všteti v mesečno najemnino.
Najemnik prevzame v plačilo del stroškov sestave najemne pogodbe, izvedbo primopredaje nepremičnine, sestava primopredajnega zapisnika, komunikacija z najemnikom v času trajanja najemnega razmerja, in urejanje vsega potrebnega za nemoten najem, vse v skladu z splošnimi pogoji nepremičninske družbe, oz. najemnik pri oglaševani nepremičnini plača 700,00 EUR + 22 % DDV (= 854,00 EUR).
Za več informacij in ogled nas pokličite.
Kontakt: 051 314 100 ali na e-mail naslov michel@sardinepremicnine.si
ŠARDI&Co. nepremičnine d.o.o., PE LOGATEC, Notranjska cesta 14, 1370 Logatec",LJ-okolica,Logatec,Logatec,Logatec,https://www.nepremicnine.net/oglasi-oddaja/logatec-stanovanje_7366136/
7363354,LOGATEC,Stanovanje,4-sobno,4.0,1550.0,EUR,135.0,2005,3/4,"135 m2, 4-sobno, zgrajeno l. 2005, 3/4 nad., Oddajamo Svetlo, Moderno & Prostorno stanovanje z ložo - samo 25 km od ...","Oddajamo nadstandardno, v celoti opremljeno stanovanje, primerno za par ali družino, ki si želi urejenega in mirnega bivalnega okolja za daljše obdobje. Stanovanje se ponaša s čudovitim klasičnim parketom, premišljeno osvetlitvijo in kakovostno opremo po meri. Osrednji bivalni prostor: Velika, masivna lesena jedilna miza je srce stanovanja in ustvarja popoln prostor za druženje ob kulinaričnih podvigih. Prostor se nadaljuje v udoben dnevno-bivalni del s sedežno garnituro in TV-jem. Kuhinja: Sodobna, svetla kuhinja v obliki črke L je opremljena z vsemi aparati in ponuja obilo shranjevalnih površin. Iz kuhinje je prostor tudi na ložo, kjer lahko spijete jutranjo limonado, ki vas napolni z energijo, da greste lažje v dan.
V spodnjem prostoru je tudi klima, ki poskrbi, da je prostor primerno hlajen.
Glavna spalnica: V zgornjem nadstropju se nahajajo spalni prostori. Prostorna in svetla spalnica z veliko zakonsko posteljo ima neposreden izhod na odprto ložo. Opremljena je tudi s klimo. Otroška / Mladinska soba: Opremljena s pogradom, posteljo, dvema pisalnima mizama in igrivimi stenskimi poslikavami, ki prostoru vdihnejo energijo. Včasih sta bili to dve sobi, ki smo ju spremenili v eno, saj sta se naša otroka rada igrala skupaj. V kolikor bi želeli drugače, je to hitro rešljivo. Delovni kotiček: Smo si ustvarili v veliki zakonski spalnici. Kotiček pod strešnim oknom z veliko pisalno mizo in predalniki ponuja možnost za delo od doma. Kopalnica in sanitarije: Stanovanje ponuja 2 kopalnici: eno s tušem ter drugo s kadjo, ki jo osvetljuje naravna svetloba skozi strešno okno. Tu najdete tudi pralni in sušilni stroj. Garaža: Stanovanju pripadata 2 garažni parkirni mesti. Blok ima na voljo tudi kolesarnico v kleti ter sobo za vozičke v pritličju.
Okolica je znana po travnikih in nešteto kolesarskih in pohodnih gozdnih poteh. Zimska idila je neizmerna, saj stopiš iz stanovanja direktno na urejeno tekaško progo za smuči.
Trgovina, vrtec, šola, glasbena šola, knjižnica,  zdravstveni dom...vse je v bližini manj kot 500 metrov. Avtocestni priključek je oddaljen nekaj minut, Ljubljana pa približno 30 minut vožnje. Koga iščemo? Ker je bilo stanovanje opremljeno z ljubeznijo in skrbjo za detajle, in je bilo vrsto let naš dom, iščemo najemnike, ki bodo prostore spoštovali in zanje skrbeli, kot bi bili njihovi lastni. Kajenje ni dovoljeno. Bivanje brez domačih živali. Želimo si dolgoročnega najema stabilnih in odgovornih najemnikov. Pogoji najema: Varščina: 2 mesečni najemnini Za več informacij in dogovor za ogled me kontaktirajte na:
Tel: 00 386 51 444 922 Nataša",LJ-okolica,Logatec,Logatec,Logatec,https://www.nepremicnine.net/oglasi-oddaja/logatec-stanovanje_7363354/
7398412,"SAVSKO NASELJE, LJ. BEŽIGRAD",Stanovanje,2-sobno,2.0,1150.0,EUR,45.0,1960,1/4,"45 m2, 2-sobno, zgrajeno l. 1960, adaptirano l. 2026, 1/4 nad., oddamo. Cena: 1.150,00 EUR/mes","Oddaja se luksuzno, popolnoma prenovljeno 2-sobno stanovanje v Bežigradu
Na izjemni lokaciji v Bežigradu (Savska cesta) , v neposredni bližini Mercator centra in URI Soča , je na voljo za oddajo luksuzno, dizajnersko opremljeno 2-sobno stanovanje v izmeri 45 m² .
Stanovanje se nahaja v 1. nadstropju urejenega večstanovanjskega objekta s štirimi nadstropji in je bilo premišljeno zasnovano z uporabo kakovostnih materialov ter skrbno izbrane opreme. Zaradi popolne opremljenosti omogoča takojšnje in brezskrbno vselitev.
Stanovanje obsega:
Posebna prednost stanovanja je odlična lokacija, ki zagotavlja hiter dostop do mestnega središča, obvoznice, javnega prevoza, trgovin, zdravstvenih ustanov ter vseh pomembnejših storitev.
Možen je tudi najem zasebne garaže po dogovoru.
Pogoji najema:
Stanovanje je idealna izbira za posameznika ali par, ki ceni kakovostno bivanje, dovršeno opremo in odlično lokacijo v enem najbolj zaželenih predelov Ljubljane.
Za več informacij ali dogovor za ogled me kontaktirajte.",LJ-mesto,Lj. Bežigrad,Ljubljana,Savsko naselje,https://www.nepremicnine.net/oglasi-oddaja/savsko-naselje-lj-bezigrad-stanovanje_7398412/
7381181,STARA LJ.,Stanovanje,3-sobno,3.0,2800.0,EUR,171.6,1896,4,"171,6 m2, 3-sobno, zgrajeno l. 1896, adaptirano l. 2002, 4. nad., oddamo. Cena: 2.800,00 EUR/mes",,LJ-mesto,Lj. Center,Ljubljana,Stara Ljubljana,https://www.nepremicnine.net/oglasi-oddaja/stara-lj-stanovanje_7381181/
