id_oglasa,naslov,tip_nepremicnine,stevilo_sob_opis,stevilo_sob,cena,valuta,m2,leto_gradnje,nadstropje,opis_kratek,url_oglasa
7111539,"BRDO, LUKSUZ NA GRBINI",Stanovanje,3-sobno,3.0,3100.0,EUR,286.6,2009,P,"286,6 m2, 3-sobno, zgrajeno l. 2009, adaptirano l. 2025, pritličje, oddamo. Cena: 3.100,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brdo-luksuz-na-grbini-stanovanje_7111539/
7408946,DRAVLJE,Stanovanje,4-sobno,4.0,2700.0,EUR,106.0,2019,4/4,"106 m2, 4-sobno, zgrajeno l. 2019, 4/4 nad., oddamo. Cena: 2.700,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/dravlje-stanovanje_7408946/
7078051,"KAMNIK, MALOGRAJSKI DVOR",Stanovanje,Apartma,,3500.0,EUR,260.0,1800,3/3,"260 m2, apartma, ""penthouse"", zgrajen l. 1800, adaptiran l. 2010, 600 m2 zemljišča, 3/3 nad., oddamo. Cena: 3....",https://www.nepremicnine.net/oglasi-oddaja/kamnik-malograjski-dvor-stanovanje_7078051/
6848932,"LJ. BEŽIGRAD, LJ",Stanovanje,Soba,,500.0,EUR,25.0,1980,,"25 m2, soba, zgrajena l. 1980, adaptirana l. 2019, nadstandardna enoposteljna soba s svojo kopalnico za bežigradom v lju...",https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-lj-stanovanje_6848932/
7375310,"LJ. CENTER, RESLJEVA",Stanovanje,5 in večsobno,,5300.0,EUR,190.0,1920,2/7,"190 m2, 5 in večsobno, zgrajeno l. 1920, adaptirano l. 2024, 2/7 nad., oddamo. Cena: 5.300,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/lj-center-resljeva-stanovanje_7375310/
7041648,"LJ. MOSTE, POKOPALIŠKA 49",Stanovanje,4-sobno,4.0,3500.0,EUR,238.0,2006,4/4,"238 m2, 4-sobno, ""penthouse"", zgrajeno l. 2006, 4/4 nad., od 1.6.2026 dalje, oddamo. Cena: 3.500,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/lj-moste-pokopaliska-49-stanovanje_7041648/
7366136,LOGATEC,Stanovanje,"2,5-sobno",2.5,700.0,EUR,80.0,1957,1/1,"80 m2, 2,5-sobno, zgrajeno l. 1957, adaptirano l. 2026, 1/1 nad., oddamo. Cena: 700,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/logatec-stanovanje_7366136/
7363354,LOGATEC,Stanovanje,4-sobno,4.0,1550.0,EUR,135.0,2005,3/4,"135 m2, 4-sobno, zgrajeno l. 2005, 3/4 nad., Oddajamo Svetlo, Moderno & Prostorno stanovanje z ložo - samo 25 km od ...",https://www.nepremicnine.net/oglasi-oddaja/logatec-stanovanje_7363354/
7398412,"SAVSKO NASELJE, LJ. BEŽIGRAD",Stanovanje,2-sobno,2.0,1150.0,EUR,45.0,1960,1/4,"45 m2, 2-sobno, zgrajeno l. 1960, adaptirano l. 2026, 1/4 nad., oddamo. Cena: 1.150,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/savsko-naselje-lj-bezigrad-stanovanje_7398412/
7381181,STARA LJ.,Stanovanje,3-sobno,3.0,2800.0,EUR,171.6,1896,4,"171,6 m2, 3-sobno, zgrajeno l. 1896, adaptirano l. 2002, 4. nad., oddamo. Cena: 2.800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-lj-stanovanje_7381181/
